iteration_limit,game_index,seed,winner,deciding_criterion,secured_margin_p1_minus_p2,advantage_margin_p1_minus_p2,corrected_objective_piece_margin_p1_minus_p2,first_persistent_full_lexicographic_lead_turn,early_central_placement_any,early_central_placement_count,first_central_commitment_turn,first_central_commitment_p1_turn,central_occupation_after_p1_turn_1,central_occupation_after_p1_turn_2,central_occupation_after_p1_turn_3,early_central_occupation_turn_count,early_central_contest_any,early_central_contest_turn_count,sample
10000,1,1091000000,1,secured_objectives,1,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,2,1091000001,1,secured_objectives,1,0,0,3,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
10000,3,1091000002,1,secured_objectives,1,1,1,11,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,4,1091000003,1,advantage_objectives,0,2,3,5,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,5,1091000004,2,advantage_objectives,0,-1,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,6,1091000005,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,7,1091000006,1,secured_objectives,1,0,1,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,8,1091000007,2,secured_objectives,-1,0,0,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,9,1091000008,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,10,1091000009,1,secured_objectives,2,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,11,1091000010,1,advantage_objectives,0,1,2,17,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,12,1091000011,1,secured_objectives,1,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,13,1091000012,2,advantage_objectives,0,-1,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,14,1091000013,1,advantage_objectives,0,1,3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
