source_issue,dataset_id,board,iteration_limit,validated_games,terminal_rescoring,search_generation_impact,winner_changes,winner_change_percentage,note
11,issue-11:seeded-random-black-vs-uct-white,4x4,50,10,recomputable from existing trials,requires new self-play for valid inference,0,0.0,Mixed UCT/Random condition: only the UCT-generated decisions inherit terminal-evaluation search risk.
11,issue-11:seeded-random-self-play,4x4,-1,100,recomputable from existing trials,unaffected by terminal scoring correction,2,2.0,Seeded-Random move generation does not consult terminal evaluation when selecting moves.
11,issue-11:uct-black-vs-seeded-random-white,4x4,50,10,recomputable from existing trials,requires new self-play for valid inference,0,0.0,Mixed UCT/Random condition: only the UCT-generated decisions inherit terminal-evaluation search risk.
11,issue-11:uct-self-play,4x4,50,20,recomputable from existing trials,requires new self-play for valid inference,2,10.0,UCT value propagation and move selection may depend on the previous terminal result.
30,issue-30:uct-0100-self-play,4x4,100,100,recomputable from existing trials,requires new self-play for valid inference,10,10.0,UCT value propagation and move selection may depend on the previous terminal result.
30,issue-30:uct-0500-self-play,4x4,500,100,recomputable from existing trials,requires new self-play for valid inference,12,12.0,UCT value propagation and move selection may depend on the previous terminal result.
30,issue-30:uct-1000-self-play,4x4,1000,100,recomputable from existing trials,requires new self-play for valid inference,9,9.0,UCT value propagation and move selection may depend on the previous terminal result.
32,issue-32:4x4-uct-10000,4x4,10000,100,recomputable from existing trials,requires new self-play for valid inference,9,9.0,UCT value propagation and move selection may depend on the previous terminal result.
32,issue-32:uct-3000-self-play,4x4,3000,100,recomputable from existing trials,requires new self-play for valid inference,10,10.0,UCT value propagation and move selection may depend on the previous terminal result.
47,issue-47:4x4-uct-100000,4x4,100000,97,recomputable from existing trials,requires new self-play for valid inference,3,3.092784,UCT value propagation and move selection may depend on the previous terminal result.
47,issue-47:4x4-uct-30000,4x4,30000,100,recomputable from existing trials,requires new self-play for valid inference,3,3.0,UCT value propagation and move selection may depend on the previous terminal result.
56,issue-56:6x6-seeded-random,6x6,-1,100,recomputable from existing trials,unaffected by terminal scoring correction,1,1.0,Seeded-Random move generation does not consult terminal evaluation when selecting moves.
56,issue-56:6x6-uct-0100,6x6,100,50,recomputable from existing trials,requires new self-play for valid inference,0,0.0,UCT value propagation and move selection may depend on the previous terminal result.
56,issue-56:6x6-uct-0500,6x6,500,20,recomputable from existing trials,requires new self-play for valid inference,1,5.0,UCT value propagation and move selection may depend on the previous terminal result.
58,issue-58:6x6-uct-0500,6x6,500,30,recomputable from existing trials,requires new self-play for valid inference,6,20.0,UCT value propagation and move selection may depend on the previous terminal result.
58,issue-58:6x6-uct-1000,6x6,1000,20,recomputable from existing trials,requires new self-play for valid inference,2,10.0,UCT value propagation and move selection may depend on the previous terminal result.
60,issue-60:6x6-uct-1000,6x6,1000,30,recomputable from existing trials,requires new self-play for valid inference,4,13.333333,UCT value propagation and move selection may depend on the previous terminal result.
62,issue-62:3x3-seeded-random,3x3,-1,100,recomputable from existing trials,unaffected by terminal scoring correction,1,1.0,Seeded-Random move generation does not consult terminal evaluation when selecting moves.
62,issue-62:3x3-uct-0100,3x3,100,100,recomputable from existing trials,requires new self-play for valid inference,5,5.0,UCT value propagation and move selection may depend on the previous terminal result.
62,issue-62:3x3-uct-0500,3x3,500,100,recomputable from existing trials,requires new self-play for valid inference,11,11.0,UCT value propagation and move selection may depend on the previous terminal result.
62,issue-62:3x3-uct-1000,3x3,1000,100,recomputable from existing trials,requires new self-play for valid inference,6,6.0,UCT value propagation and move selection may depend on the previous terminal result.
