issue,analysis,direct_terminal_result_impact,derived_analysis_impact,search_generation_impact,overall_classification,rerun_priority,reason
10,Validation,unaffected by terminal scoring correction,unaffected by terminal scoring correction,unaffected by terminal scoring correction,unaffected by terminal scoring correction,none,Rules and mechanics validation does not use the changed terminal criterion.
11,Initial AI experiment,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
30,Stronger UCT balance and strategy,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,2,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
32,Deeper UCT convergence,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,2,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
35,One-turn deep-UCT analysis,unaffected by terminal scoring correction,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"The metric can be recomputed on retained trajectories, but UCT move generation may depend on the previous terminal evaluation."
37,Supply securing timing,unaffected by terminal scoring correction,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"The metric can be recomputed on retained trajectories, but UCT move generation may depend on the previous terminal evaluation."
39,Supply Point site value,unaffected by terminal scoring correction,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"The metric can be recomputed on retained trajectories, but UCT move generation may depend on the previous terminal evaluation."
41,Game-state progression,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
43,Reversal mechanisms,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
44,Reversal prediction,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
47,Strategic convergence,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,1,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
56,Initial 6x6 scale analysis,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,3,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
58,Deeper 6x6 validation,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,3,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
60,6x6 UCT replication,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,3,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
62,3x3 baseline,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,2,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
65,Regional independence,unaffected by terminal scoring correction,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"The metric can be recomputed on retained trajectories, but UCT move generation may depend on the previous terminal evaluation."
68,Dormant fronts,unaffected by terminal scoring correction,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"The metric can be recomputed on retained trajectories, but UCT move generation may depend on the previous terminal evaluation."
70,6x6 front selection,unaffected by terminal scoring correction,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,4,"The metric can be recomputed on retained trajectories, but UCT move generation may depend on the previous terminal evaluation."
73,7x7 scale analysis,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,3,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
77,7x7 piece-count sensitivity,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,3,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
82,3x3 deep-UCT balance,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,1,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
83,3x3 versus 4x4 deep-UCT balance,recomputable from existing trials,recomputable from existing trials,requires new self-play for valid inference,requires new self-play for valid inference,1,"Recorded winner, balance, scoring layer, or winner-relative conclusions use the previous result; UCT trajectories may also depend on that result."
